name,fdir,op_Mask_Aperture_x,op_Mask_horizontalCenterCoordinate
mo1_exit,/data/experiments/maskEfficiency19/data/1,1E-06,1E-06
mo2_exit,/data/experiments/maskEfficiency19/data/2,2E-06,2E-06
mo3_exit,/data/experiments/maskEfficiency19/data/3,3E-06,3E-06
mo4_exit,/data/experiments/maskEfficiency19/data/4,4E-06,4E-06
mo5_exit,/data/experiments/maskEfficiency19/data/5,5E-06,5E-06
mo6_exit,/data/experiments/maskEfficiency19/data/6,6E-06,6E-06
mo7_exit,/data/experiments/maskEfficiency19/data/7,7E-06,7E-06
mo8_exit,/data/experiments/maskEfficiency19/data/8,8E-06,8E-06
mo9_exit,/data/experiments/maskEfficiency19/data/9,9E-06,9E-06
mo10_exit,/data/experiments/maskEfficiency19/data/10,1E-05,1E-05
mo11_exit,/data/experiments/maskEfficiency19/data/11,1.1E-05,1.1E-05
mo12_exit,/data/experiments/maskEfficiency19/data/12,1.2E-05,1.2E-05
mo13_exit,/data/experiments/maskEfficiency19/data/13,1.3E-05,1.3E-05
mo14_exit,/data/experiments/maskEfficiency19/data/14,1.4E-05,1.4E-05
mo15_exit,/data/experiments/maskEfficiency19/data/15,1.5E-05,1.5E-05
mo16_exit,/data/experiments/maskEfficiency19/data/16,1.6E-05,1.6E-05
mo17_exit,/data/experiments/maskEfficiency19/data/17,1.7E-05,1.7E-05
mo18_exit,/data/experiments/maskEfficiency19/data/18,1.8E-05,1.8E-05
mo19_exit,/data/experiments/maskEfficiency19/data/19,1.9E-05,1.9E-05
mo20_exit,/data/experiments/maskEfficiency19/data/20,2E-05,2E-05
